Label
Bird
Electrical Disturbance
Air Traffic
Siren
Anthropogenic Unknown
Wing Beats
Road Traffic
Metal
Vegetation
Unknown Sound
Human Voices
Braking Vehicle (Road or Rail)
Rain
Mechanical
Vehicle Horn (Road or Rail)
Animal
Insect
Vehicle Alarm
Wind
electrical disturbance
wind
building ventilation system
dog barking
bird
vegetation
airplane
road traffic
train horn
human voice
unknown
metalic sound
""
Mix traffic
rail traffic
breaking vehicle
deck lowering
rain
alarm
anthropogenic unknown
beep
electrical
siren
whistle
vehicle horn
russling leaves (animal)
rainfall on vegetation
vehicle breaking
music
invertebrate
Braking
animal
wing beats
machinery
water dripping
barking dog
voices
car alarm
hammering
clapping
dog bark
mix traffic
church bell
mobile phone
car horn
unknown sound
shower
braking
metalic
horn
Bus emitting
glass into bins
wings beating
water splashing
laughing
mechanical
Horn
rubbish bag
door opening
lawnmower
footsteps
ball bouncing
rock
church bells
train station announcement
amphibian
mower
bat hitting ball
bat
camera
television
dripping water
